@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.46462,0.63732,0.08885,0.3419,0.11798,0.42678,0.6602,0.06231,0.18268,0.03337,0,1,0,0,0,0,0,1,13,nonreq
2,0.03935,0.63732,0.22031,0.32633,0.1101,0.04778,0.6602,0.10776,0.17747,0.0315,0,2,0,0,0,1,0,1,30,req
3,0.00003,0.06648,0.03417,0.01474,0.00022,0.01273,0.28788,0.04341,0.07318,0.00536,0,3,0,0,0,0,0,1,31,nonreq
4,0.11565,0.49115,0.01722,0.1429,0.03434,0.11577,0.56487,0.03755,0.11608,0.01347,0,0,0,0,0,0,0,1,8,req
5,0.01255,0.63411,0.09831,0.22694,0.06511,0.02389,0.65811,0.06558,0.14421,0.0208,0,0,0,0,0,0,0,1,8,req
6,0.00774,0.49115,0.04714,0.14145,0.03387,0.0196,0.56487,0.04789,0.11559,0.01336,0,0,0,0,0,0,0,1,12,req
7,0.01899,0.63411,0.16419,0.22391,0.06389,0.02963,0.65811,0.08836,0.14319,0.0205,0,2,0,0,0,0,0,1,26,nonreq
8,0.04582,0.96494,0.08131,0.33347,0.11368,0.05354,0.87389,0.0597,0.17986,0.03235,0,0,0,0,0,0,0,1,11,req
9,0.02535,0.29486,0.03251,0.096,0.02006,0.0353,0.43684,0.04283,0.10038,0.01008,0,1,0,0,0,0,0,2,10.5,req
10,0.01197,0.29486,0.08167,0.13858,0.03294,0.02337,0.43684,0.05983,0.11463,0.01314,0,0,0,0,0,0,0,1,15,req
11,0.04044,0.96494,0.1406,0.34819,0.12124,0.04875,0.87389,0.0802,0.18479,0.03415,0,0,0,0,0,0,0,1,14,req
12,0.00003,0.23132,0.10685,0.11045,0.02424,0.01273,0.3954,0.06854,0.10521,0.01107,0,0,0,0,0,0,0,1,14,req
13,0.00702,0.28867,0.09193,0.20262,0.05553,0.01896,0.4328,0.06338,0.13607,0.01851,0,2,0,0,0,0,0,1,8,req
14,0.01543,0.53799,0.08644,0.24573,0.07291,0.02646,0.59542,0.06148,0.15049,0.02265,0,1,0,0,0,0,0,1,9,req
15,0.02421,0.23132,0.04894,0.09514,0.01982,0.03429,0.3954,0.04851,0.10009,0.01002,0,0,0,0,0,0,0,1,9,req
16,0.01722,0.09354,0.08589,0.08737,0.01766,0.02805,0.30554,0.06129,0.09749,0.0095,0,1,0,0,0,0,0,1,17,req
17,0.01257,0.09354,0.13646,0.0922,0.01899,0.02391,0.30554,0.07877,0.09911,0.00982,0,2,0,0,0,0,0,1,24,req
