@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.00129,0.68549,0.20354,0.26004,0.07115,0.00013,0.68549,0.0363,0.08683,0.00754,0,1,0,0,0,0,0,1,11,req
2,0.0007,0.73461,0.21372,0.33515,0.11301,0.00008,0.73461,0.03787,0.1089,0.01186,0,1,0,0,0,0,0,1,14,req
3,0.00062,0.73461,0.25098,0.31906,0.10324,0.00008,0.73461,0.04363,0.10417,0.01085,0,1,0,0,0,0,0,1,15,req
4,0.00077,0.54823,0.19981,0.21424,0.05026,0.00009,0.54823,0.03572,0.07337,0.00538,0,2,0,0,0,0,0,1,13,req
5,0.00045,0.33382,0.11967,0.19788,0.04365,0.00006,0.33382,0.02333,0.06856,0.0047,0,0,0,0,0,0,0,1,13,req
6,0.00083,0.48041,0.15718,0.25152,0.067,0.00009,0.48041,0.02913,0.08432,0.00711,0,1,0,0,0,0,0,1,12,req
7,0.00068,0.37209,0.16329,0.22072,0.053,0.00008,0.37209,0.03007,0.07527,0.00567,0,2,0,0,0,0,0,1,16,req
8,0.00051,0.60401,0.11307,0.19072,0.0409,0.00007,0.60401,0.02231,0.06646,0.00442,0,1,0,0,0,0,0,1,13,req
9,0.00062,0.60401,0.1126,0.22703,0.05574,0.00008,0.60401,0.02224,0.07713,0.00595,0,1,0,0,0,0,0,1,11,req
10,0.00155,0.43531,0.29598,0.28795,0.0856,0.00015,0.43531,0.05058,0.09503,0.00903,0,0,0,0,0,0,0,1,11,req
11,0.00041,1,0.18896,0.30716,0.09631,0.00006,1,0.03404,0.10067,0.01014,0,0,0,0,0,0,0,1,16,req
12,0.00075,0.54864,0.26259,0.31107,0.09856,0.00009,0.54864,0.04542,0.10182,0.01037,0,0,0,0,0,0,0,1,14,req
13,0.0009,0.68549,0.29395,0.30803,0.09681,0.0001,0.68549,0.05027,0.10093,0.01019,0,0,0,0,0,0,0,1,12,req
14,0.00143,0.43531,0.25488,0.26424,0.07324,0.00014,0.43531,0.04423,0.08806,0.00775,0,1,0,0,0,0,0,1,16,req
15,0.00079,0.50912,0.13672,0.19172,0.04128,0.00009,0.50912,0.02597,0.06675,0.00446,0,0,0,0,0,0,0,1,15,req
16,0.00024,0.44405,0.23858,0.25009,0.06631,0.00005,0.44405,0.04171,0.0839,0.00704,0,3,0,0,0,0,0,1,19,req
17,0.00081,0.36907,0.21355,0.23129,0.05763,0.00009,0.36907,0.03784,0.07838,0.00614,0,1,0,0,0,0,0,1,13,req
18,0.00103,0.44909,0.40358,0.31356,0.10001,0.00011,0.44909,0.06722,0.10255,0.01052,0,2,0,0,0,0,0,1,16,req
19,0.00047,0.76586,0.19025,0.27698,0.07977,0.00007,0.76586,0.03424,0.09181,0.00843,0,1,0,0,0,0,0,1,13,req
20,0.00053,0.76586,0.19922,0.28887,0.0861,0.00007,0.76586,0.03563,0.0953,0.00908,0,1,0,0,0,0,0,1,16,req
21,0.00047,0.59809,0.11765,0.23523,0.0594,0.00007,0.59809,0.02302,0.07954,0.00633,0,1,0,0,0,0,0,1,10,req
22,0.00047,0.59809,0.0709,0.19098,0.041,0.00007,0.59809,0.01579,0.06653,0.00443,0,0,0,0,0,0,0,1,10,req
23,0.00042,0.41241,0.16784,0.20371,0.04596,0.00006,0.41241,0.03078,0.07027,0.00494,0,1,0,0,0,0,0,1,15,req
24,0.00054,0.41241,0.07281,0.13107,0.0213,0.00007,0.41241,0.01609,0.04893,0.00239,0,0,0,0,0,0,0,1,13,req
25,0.00035,0.51695,0.18955,0.25007,0.06631,0.00006,0.51695,0.03413,0.0839,0.00704,0,0,0,0,0,0,0,1,14,req
26,0.00089,0.51695,0.08041,0.1434,0.02487,0.0001,0.51695,0.01726,0.05255,0.00276,0,0,0,0,0,0,0,1,11,req
27,0.00045,0.45802,0.08719,0.18463,0.03863,0.00006,0.45802,0.01831,0.06467,0.00418,0,0,0,0,0,0,0,1,10,req
28,0.00059,0.62276,0.12814,0.20319,0.04575,0.00007,0.62276,0.02464,0.07012,0.00492,0,1,0,0,0,0,0,1,13,req
29,0.0006,0.68029,0.19687,0.28109,0.08193,0.00008,0.68029,0.03526,0.09301,0.00865,0,0,0,0,1,0,0,1,12,req
30,0.00044,0.5574,0.24557,0.35281,0.12422,0.00006,0.5574,0.04279,0.11409,0.01302,0,2,0,0,0,0,0,1,14,req
31,0.00166,1,0.16781,0.34885,0.12166,0.00016,1,0.03077,0.11292,0.01275,0,0,0,0,0,0,0,1,8,req
32,0.00166,1,0.16781,0.34885,0.12166,0.00016,1,0.03077,0.11292,0.01275,0,0,0,0,0,0,0,1,9,req
33,0.00065,0.6895,0.23643,0.28669,0.08492,0.00008,0.6895,0.04138,0.09466,0.00896,0,0,0,0,0,0,0,1,13,req
34,0.00056,0.6895,0.16396,0.23961,0.0614,0.00007,0.6895,0.03018,0.08082,0.00653,0,0,0,0,0,0,0,1,12,req
35,0.0007,0.87949,0.11398,0.30153,0.09311,0.00008,0.87949,0.02245,0.09902,0.0098,0,0,0,0,0,0,0,1,9,req
36,0.00092,0.71258,0.22319,0.29988,0.09218,0.0001,0.71258,0.03933,0.09853,0.00971,0,0,0,0,0,0,0,1,10,req
37,0.00052,0.71986,0.19188,0.36638,0.13319,0.00007,0.71986,0.03449,0.11808,0.01394,0,2,0,0,0,0,0,1,10,req
38,0.00088,0.70514,0.33022,0.40204,0.15823,0.0001,0.70514,0.05588,0.12856,0.01653,0,1,0,0,0,0,0,1,13,req
39,0.00113,0.55751,0.2318,0.2407,0.06191,0.00012,0.55751,0.04066,0.08114,0.00658,0,0,0,0,0,0,0,1,12,req
40,0.00121,0.55751,0.32585,0.34736,0.1207,0.00012,0.55751,0.0552,0.11249,0.01265,0,0,0,0,0,0,0,1,13,req
41,0.00271,0.54864,0.31914,0.30477,0.09494,0.00024,0.54864,0.05416,0.09997,0.00999,0,0,0,0,0,0,0,1,10,req
42,0.00071,0.63513,0.297,0.39388,0.15231,0.00008,0.63513,0.05074,0.12616,0.01592,0,1,0,0,0,0,0,1,12,req
43,0.00054,0.37209,0.13198,0.19165,0.04125,0.00007,0.37209,0.02523,0.06673,0.00445,0,1,1,0,0,0,0,1,14,req
44,0.00058,0.69652,0.19656,0.23184,0.05787,0.00007,0.69652,0.03522,0.07854,0.00617,0,1,0,0,0,0,0,1,17,req
45,0.00051,0.69652,0.13789,0.26371,0.07298,0.00007,0.69652,0.02615,0.0879,0.00773,0,0,0,0,0,0,0,1,13,req
46,0.00074,0.70777,0.21375,0.29071,0.0871,0.00009,0.70777,0.03787,0.09584,0.00919,0,0,0,0,0,0,0,1,10,req
47,0.00083,0.70777,0.22942,0.31283,0.09958,0.00009,0.70777,0.0403,0.10234,0.01047,0,0,0,0,0,0,0,1,11,req
48,0.00054,0.36639,0.12272,0.21767,0.0517,0.00007,0.36639,0.0238,0.07438,0.00553,0,1,0,0,0,0,0,1,11,req
49,0.00052,0.45309,0.13484,0.21611,0.05105,0.00007,0.45309,0.02568,0.07392,0.00546,0,0,0,0,0,0,0,1,10,req
