@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.00065,0.50856,0.27648,0.3471,0.12073,0.01031,0.67727,0.09496,0.19353,0.03746,0,0,0,0,0,0,0,1,13,req
2,0.00302,0.67882,0.34936,0.37487,0.13393,0.01248,0.78908,0.11336,0.20075,0.0403,0,0,0,0,0,0,0,1,19,req
3,0.00266,0.67882,0.38648,0.33652,0.11583,0.01214,0.78908,0.12274,0.19078,0.0364,0,0,0,0,0,0,0,1,14,req
4,0.00064,0.14453,0.23227,0.08158,0.01889,0.0103,0.4382,0.0838,0.12451,0.0155,0,0,0,0,0,0,0,1,17,req
5,0.0014,0.67802,0.16843,0.19159,0.05572,0.011,0.78855,0.06768,0.15311,0.02344,0,0,1,0,0,0,0,1,12,req
6,0.00349,0.32393,0.1793,0.07868,0.01802,0.0129,0.55602,0.07042,0.12376,0.01532,0,0,0,0,0,0,0,1,12,req
7,0.00097,0.09306,0.1147,0.04665,0.00878,0.0106,0.4044,0.05411,0.11543,0.01332,0,0,0,0,0,0,0,1,10,req
8,0.00246,0.11463,0.18869,0.01474,0.00022,0.01196,0.41857,0.07279,0.10713,0.01148,0,0,0,0,0,0,0,1,9,req
9,0.00003,0.28476,0.35708,0.218,0.06569,0.00974,0.5303,0.11531,0.15997,0.02559,0,1,0,0,0,0,0,1,24,req
10,0.00058,0.67802,0.33723,0.38579,0.13926,0.01025,0.78855,0.1103,0.20359,0.04145,0,0,0,0,0,0,0,1,10,req
11,0.00025,0.32283,0.25762,0.21134,0.06314,0.00994,0.55529,0.0902,0.15824,0.02504,0,0,0,0,0,0,0,1,11,req
12,0.24794,0.13929,0.23557,0.20977,0.06254,0.23609,0.43476,0.08463,0.15783,0.02491,0,1,0,0,0,0,0,1,13,req
13,0.00064,0.64807,0.27322,0.30295,0.10073,0.0103,0.76888,0.09414,0.18206,0.03314,0,0,1,0,0,0,0,1,11,req
14,0.06317,0.06648,0.19575,0.09842,0.02404,0.06739,0.38695,0.07458,0.12889,0.01661,0,1,0,0,0,0,0,1,11,req
15,0.00003,0.64807,0.20631,0.19768,0.05798,0.00974,0.76888,0.07724,0.15469,0.02393,0,0,1,0,0,0,0,1,10,req
16,0.06516,1,0.12589,0.34819,0.12124,0.06921,1,0.05693,0.19382,0.03756,0,1,0,0,0,0,0,1,8,req
17,0.16002,0.15366,0.0681,0.05666,0.0116,0.15581,0.4442,0.04234,0.11803,0.01393,0,1,1,0,0,0,0,1,7,req
