@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.01558,0.37825,0.14457,0.23589,0.06848,0.00165,0.53402,0.07277,0.12241,0.01498,0,1,0,0,0,0,0,1,50,req
2,0.00933,0.44171,0.12891,0.13821,0.0325,0.00121,0.58147,0.06723,0.0946,0.00895,0,0,0,0,0,0,0,1,39,req
3,0.01372,0.2401,0.09149,0.10514,0.02241,0.00152,0.43075,0.054,0.08519,0.00726,0,0,0,0,0,0,0,1,31,req
4,0.02279,0.10578,0.16941,0.09585,0.01976,0.00216,0.33033,0.08156,0.08254,0.00681,0,0,0,0,0,0,0,1,49,req
5,0.01191,0.4664,0.18939,0.26664,0.08171,0.00139,0.59992,0.08862,0.13116,0.0172,0,0,0,0,0,0,0,1,32,req
6,0.00653,0.39281,0.12672,0.23289,0.06724,0.00101,0.54491,0.06646,0.12156,0.01478,0,1,1,0,1,0,0,1,43,req
7,0.01492,0.39134,0.17574,0.21818,0.06127,0.0016,0.54381,0.0838,0.11737,0.01378,0,1,0,0,0,0,0,1,46,req
8,0.02355,0.39281,0.10081,0.18458,0.04843,0.00221,0.54491,0.0573,0.1078,0.01162,0,0,0,0,0,0,0,1,24,req
9,0.02322,0.99852,0.12189,0.34819,0.12124,0.00219,0.99773,0.06475,0.15438,0.02383,0,0,0,0,1,0,0,1,21,req
10,0.02361,1,0.15613,0.33282,0.1133,0.00222,0.99884,0.07686,0.15001,0.0225,0,2,0,0,0,0,0,1,48,req
11,0.01634,0.2401,0.10616,0.12148,0.02726,0.0017,0.43075,0.05919,0.08984,0.00807,0,0,1,0,1,0,1,1,35,req
12,0.00069,0.58725,0.12002,0.3035,0.09878,0.0006,0.69027,0.06409,0.14166,0.02007,0,0,0,0,0,0,0,1,31,req
13,0.09216,0.1216,0.18099,0.14668,0.03525,0.00703,0.34215,0.08565,0.09701,0.00941,0,0,1,0,0,0,0,1,47,req
14,0.07603,0.26168,0.22031,0.21009,0.05808,0.0059,0.44688,0.09956,0.11506,0.01324,0,1,0,0,0,0,1,1,47,req
15,0.01775,0.60633,0.17269,0.29876,0.09651,0.0018,0.70453,0.08272,0.14031,0.01969,0,0,0,0,0,0,0,1,50,req
16,0.02251,0.44171,0.13328,0.19808,0.05346,0.00214,0.58147,0.06878,0.11165,0.01247,0,0,0,0,0,0,0,3,17.333333,req
17,0.00003,0.06648,0.04711,0.08125,0.01578,0.00056,0.30095,0.03831,0.07838,0.00614,0,0,0,0,0,0,0,1,11,req
18,0.01111,0.13144,0.10466,0.15174,0.03693,0.00134,0.34951,0.05866,0.09845,0.00969,0,2,0,0,0,0,0,1,32,req
19,0.21404,0.92844,0.11388,0.31196,0.10288,0.0156,0.94534,0.06192,0.14407,0.02075,0,1,1,0,0,0,0,1,19,req
20,0.01161,0.92844,0.16392,0.31485,0.1043,0.00137,0.94534,0.07962,0.14489,0.02099,0,2,1,0,0,0,0,1,39,req
21,0.03235,0.37825,0.19099,0.20542,0.05626,0.00283,0.53402,0.08919,0.11373,0.01294,0,1,0,0,0,0,0,1,29,req
22,0.02713,0.19349,0.04682,0.06772,0.01226,0.00246,0.3959,0.0382,0.07453,0.00556,0,0,0,0,0,0,1,1,21,req
23,0.006,0.34781,0.15769,0.16589,0.04176,0.00098,0.51126,0.07741,0.10248,0.0105,0,0,0,0,1,0,0,1,16,req
24,0.01923,0.44098,0.13719,0.22024,0.06209,0.00191,0.58092,0.07016,0.11795,0.01391,0,0,0,0,1,0,0,1,16,req
25,0.01674,0.18349,0.06406,0.10712,0.02298,0.00173,0.38843,0.0443,0.08575,0.00735,0,2,0,0,0,0,0,1,13,req
26,0.00258,0.12454,0.05982,0.07904,0.01519,0.00074,0.34436,0.0428,0.07775,0.00605,0,0,0,0,0,0,0,1,14,nonreq
27,0.04596,0.99852,0.1291,0.34793,0.1211,0.00379,0.99773,0.0673,0.15431,0.02381,0,0,0,0,1,0,0,1,22,req
28,0.0235,1,0.16073,0.33289,0.11333,0.00221,0.99884,0.07849,0.15003,0.02251,0,2,0,0,0,0,0,1,49,req
29,0.023,0.44806,0.10857,0.22072,0.06229,0.00217,0.58621,0.06004,0.11809,0.01395,0,0,0,0,0,0,0,1,16,req
30,0.03076,0.39134,0.11464,0.17901,0.04641,0.00272,0.54381,0.06219,0.10622,0.01128,0,0,0,0,0,0,0,1,28,req
31,0.02201,0.58725,0.17426,0.29276,0.09367,0.0021,0.69027,0.08327,0.1386,0.01921,0,0,0,0,0,0,0,1,19,req
32,0.0122,0.60633,0.1143,0.27716,0.08645,0.00141,0.70453,0.06207,0.13416,0.018,0,0,0,0,0,0,0,1,17,req
33,0.05313,0.25755,0.14377,0.12792,0.02925,0.00429,0.44379,0.07249,0.09167,0.0084,0,0,0,0,0,0,0,1,16,req
