@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.10367,0.77881,0.24602,0.32091,0.106,0.06845,0.84613,0.07705,0.16758,0.02808,0,0,0,0,0,0,0,1,10,req
2,0.0007,0.37545,0.22397,0.24816,0.07002,0.00209,0.56554,0.07069,0.13879,0.01926,0,1,0,0,0,0,0,1,10,req
3,0.02671,0.44772,0.14299,0.18727,0.0451,0.01886,0.61581,0.04732,0.1147,0.01316,0,1,0,0,0,0,0,1,8,req
4,0.00063,0.41229,0.21695,0.23306,0.0634,0.00205,0.59117,0.06866,0.13281,0.01764,0,1,0,0,0,0,0,1,8,req
5,0.02822,0.4134,0.16147,0.19031,0.04623,0.01983,0.59194,0.05266,0.1159,0.01343,0,1,0,0,0,0,0,1,10,req
6,0.12058,0.37545,0.24201,0.29552,0.09267,0.07935,0.56554,0.0759,0.15753,0.02482,0,0,0,0,0,0,0,1,8,req
7,0.00101,0.63604,0.17287,0.23445,0.064,0.00229,0.74681,0.05595,0.13337,0.01779,0,1,0,0,0,0,0,1,12,req
8,0.00168,0.46868,0.24612,0.29341,0.0916,0.00272,0.63039,0.07708,0.15669,0.02455,0,1,0,0,0,0,0,1,8,req
9,0.01115,0.9313,0.18199,0.23532,0.06437,0.00883,0.95221,0.05858,0.13371,0.01788,0,2,0,0,0,0,0,1,23,req
10,0.01184,0.9313,0.16509,0.23243,0.06313,0.00927,0.95221,0.0537,0.13257,0.01757,0,1,0,0,0,0,0,1,21,req
11,0.00054,0.19776,0.31623,0.19386,0.04757,0.00199,0.44193,0.09731,0.11731,0.01376,0,1,0,0,0,0,0,1,14,req
12,0.00533,0.12465,0.13496,0.14315,0.03,0.00508,0.39107,0.04501,0.09725,0.00946,0,2,0,0,0,0,0,1,11,req
13,0.00377,0.45062,0.22872,0.22309,0.05918,0.00407,0.61783,0.07206,0.12887,0.01661,0,2,0,0,0,0,0,1,12,req
14,0.00277,0.83419,0.22971,0.29652,0.09319,0.00343,0.88466,0.07235,0.15792,0.02494,0,3,0,0,0,0,0,1,16,req
15,0.00003,0.57119,0.13946,0.20043,0.05009,0.00166,0.7017,0.0463,0.11991,0.01438,0,3,0,0,0,0,0,1,11,req
16,0.00043,0.83419,0.19981,0.28354,0.08667,0.00192,0.88466,0.06372,0.15279,0.02334,0,2,0,0,0,0,0,1,11,req
17,0.12298,0.77881,0.20627,0.30495,0.09753,0.0809,0.84613,0.06558,0.16126,0.026,0,0,0,0,0,0,0,1,10,req
18,0.00355,0.59718,0.2799,0.28527,0.08753,0.00393,0.71979,0.08683,0.15347,0.02355,0,3,0,0,0,0,0,1,17,req
19,0.00274,0.63604,0.26525,0.28631,0.08804,0.00341,0.74681,0.0826,0.15388,0.02368,0,2,0,0,0,0,0,1,18,req
20,0.00003,0.97458,0.09299,0.22867,0.06153,0.00166,0.98232,0.0329,0.13108,0.01718,0,2,0,0,0,0,0,1,19,req
21,0.00008,0.97458,0.04735,0.22556,0.06022,0.00169,0.98232,0.01973,0.12985,0.01686,0,1,0,0,0,0,0,1,16,req
22,0.01016,0.61165,0.32791,0.33642,0.11455,0.00819,0.72985,0.10068,0.17371,0.03018,0,2,0,0,0,0,0,1,15,req
23,0.01487,0.61165,0.3348,0.37365,0.13632,0.01122,0.72985,0.10267,0.18844,0.03551,0,2,0,0,0,0,0,1,15,req
24,0.00619,0.72993,0.2752,0.31754,0.10418,0.00563,0.81213,0.08547,0.16624,0.02764,0,2,0,0,0,0,0,1,11,req
25,0.00268,0.4134,0.16673,0.20956,0.05367,0.00337,0.59194,0.05417,0.12352,0.01526,0,2,0,0,0,0,0,1,13,req
26,0.00524,0.60193,0.23284,0.27335,0.08171,0.00502,0.72309,0.07325,0.14876,0.02213,0,2,0,0,0,0,0,1,11,req
27,0.007,0.43801,0.32045,0.35813,0.12702,0.00615,0.60906,0.09853,0.1823,0.03323,0,2,0,0,0,0,0,1,11,req
28,0.00363,0.45062,0.29458,0.28988,0.08983,0.00398,0.61783,0.09106,0.1553,0.02412,0,2,0,0,0,0,0,1,12,req
29,0.01147,1,0.32791,0.39155,0.14741,0.00903,1,0.10068,0.19552,0.03823,0,3,0,0,0,0,0,1,16,req
30,0.01147,1,0.32791,0.39155,0.14741,0.00903,1,0.10068,0.19552,0.03823,0,3,0,0,0,0,0,1,16,req
