@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
40,0.00347,0.63793,0.24562,0.16922,0.03939,0.00101,0.60471,0.04598,0.08845,0.00782,0,0,0,0,0,0,0,1,35,req
41,0.00031,0.5825,0.17117,0.23236,0.0638,0.00038,0.56975,0.03384,0.10806,0.01168,0,0,0,0,0,0,0,1,17,req
42,0.00142,0.41799,0.08792,0.09787,0.01768,0.0006,0.46602,0.02027,0.06629,0.00439,0,0,0,0,0,0,0,1,21,req
43,0.00033,0.80963,0.23167,0.27228,0.08175,0.00038,0.71298,0.04371,0.12045,0.01451,0,0,0,0,0,0,0,1,19,req
44,0.00162,0.39514,0.1404,0.18856,0.04635,0.00064,0.45161,0.02883,0.09445,0.00892,0,0,0,0,0,0,0,1,15,req
45,0.00135,0.26325,0.13307,0.13254,0.02745,0.00058,0.36844,0.02763,0.07706,0.00594,0,0,0,0,0,0,0,1,12,req
46,0.00117,0.44418,0.18177,0.19947,0.05048,0.00055,0.48253,0.03557,0.09784,0.00957,0,0,0,0,0,0,0,1,19,req
47,0.00325,0.80963,0.24307,0.28102,0.08593,0.00096,0.71298,0.04556,0.12317,0.01517,0,0,0,0,0,0,0,1,24,req
48,0.00175,0.24713,0.21628,0.11662,0.02278,0.00066,0.35827,0.0412,0.07211,0.0052,0,0,0,0,0,0,0,1,19,req
49,0.00214,0.4219,0.27948,0.18512,0.04508,0.00074,0.46848,0.0515,0.09338,0.00872,0,1,0,0,0,0,0,1,19,req
