@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.00068,0.15188,0.21007,0.14243,0.03448,0.00075,0.33633,0.05398,0.07237,0.00524,0,2,0,0,0,0,0,1,23,req
2,0.00063,0.48248,0.07111,0.13637,0.03252,0.00072,0.59503,0.02233,0.07113,0.00506,0,0,0,0,0,0,0,1,9,req
3,0.00018,0.16935,0.10186,0.08264,0.01657,0.0004,0.35,0.02933,0.0602,0.00362,0,1,0,0,0,0,0,1,32,req
4,0.00043,0.35856,0.15003,0.23896,0.07034,0.00058,0.49805,0.0403,0.092,0.00846,0,1,0,0,0,0,0,1,20,req
5,0.00061,0.32167,0.15598,0.23277,0.06778,0.0007,0.46919,0.04166,0.09074,0.00823,0,0,0,0,0,0,0,1,26,req
6,0.00016,0.70181,0.12585,0.31983,0.10697,0.00038,0.76666,0.0348,0.10845,0.01176,0,0,0,0,0,0,0,1,19,req
7,0.00144,0.42115,0.14154,0.25059,0.07523,0.00129,0.54703,0.03837,0.09437,0.00891,0,0,0,0,0,0,0,1,17,req
8,0.109,0.55958,0.11464,0.29886,0.09689,0.0769,0.65536,0.03224,0.10419,0.01085,0,0,0,0,0,0,0,1,23,req
9,0.0104,0.06648,0.08058,0.05522,0.00946,0.00759,0.26949,0.02449,0.05463,0.00298,0,0,0,0,0,0,0,1,19,req
10,0.03524,0.38475,0.18127,0.23863,0.0702,0.02505,0.51855,0.04742,0.09193,0.00845,0,0,0,0,0,0,0,1,14,req
11,0.01969,0.47052,0.09672,0.19637,0.05346,0.01412,0.58567,0.02816,0.08334,0.00695,0,1,1,0,0,0,0,1,20,req
12,0.00535,0.16201,0.09655,0.10145,0.02185,0.00404,0.34425,0.02812,0.06403,0.0041,0,0,0,0,0,0,2,1,25,nonreq
13,0.00897,0.47052,0.18503,0.21932,0.06235,0.00658,0.58567,0.04828,0.08801,0.00775,0,1,0,0,0,0,0,1,27,req
14,0.0317,0.42115,0.13315,0.21739,0.06158,0.02256,0.54703,0.03646,0.08761,0.00768,0,0,0,0,0,0,0,1,17,req
15,0.01695,0.70181,0.15989,0.29046,0.09297,0.01219,0.76666,0.04255,0.10248,0.0105,0,0,0,0,0,0,0,1,16,req
16,0.00003,0.19393,0.13403,0.15066,0.03721,0.0003,0.36923,0.03666,0.07404,0.00548,0,1,0,0,0,0,0,1,40,req
17,0.0008,0.53516,0.14625,0.19254,0.05202,0.00083,0.63625,0.03944,0.08256,0.00682,0,1,0,0,0,0,0,1,17,req
18,0.00079,0.16632,0.16398,0.09887,0.02111,0.00083,0.34762,0.04348,0.06351,0.00403,0,0,0,0,0,0,0,1,21,req
19,0.00113,0.2075,0.1984,0.14873,0.03656,0.00107,0.37985,0.05132,0.07365,0.00542,0,2,1,0,0,0,2,1,25,req
20,0.00054,0.26874,0.15664,0.20894,0.05827,0.00065,0.42777,0.04181,0.0859,0.00738,0,1,0,0,0,0,0,1,19,req
21,0.0008,0.39498,0.11941,0.15525,0.03875,0.00083,0.52655,0.03333,0.07497,0.00562,0,1,1,0,0,0,0,1,29,nonreq
22,0.00288,0.21794,0.17382,0.19749,0.05388,0.0023,0.38802,0.04572,0.08357,0.00698,0,0,0,0,0,0,0,1,30,req
23,0.00105,0.10969,0.09247,0.04934,0.00802,0.00101,0.30331,0.02719,0.05343,0.00285,0,0,0,0,0,0,0,1,17,req
24,0.0149,0.25357,0.0987,0.08983,0.01855,0.01075,0.4159,0.02861,0.06167,0.0038,0,0,0,0,1,0,0,1,18,nonreq
25,0.03147,0.1246,0.09982,0.11078,0.02459,0.0224,0.31498,0.02887,0.06593,0.00435,0,1,0,0,0,0,0,1,12,req
26,0.01303,0.25588,0.12252,0.11712,0.0265,0.00944,0.41771,0.03404,0.06722,0.00452,0,0,0,0,0,0,0,1,16,req
27,0.07068,0.25541,0.1096,0.15036,0.0371,0.04997,0.41733,0.0311,0.07398,0.00547,0,1,0,0,0,0,0,1,8,req
28,0.00067,0.48248,0.09504,0.1354,0.03221,0.00075,0.59503,0.02778,0.07094,0.00503,0,0,0,0,0,0,0,1,10,req
29,0.00035,0.27967,0.06634,0.05298,0.00891,0.00052,0.43632,0.02124,0.05417,0.00293,0,0,0,0,0,0,0,1,15,req
30,0.00123,0.3102,0.06975,0.15145,0.03747,0.00114,0.46021,0.02202,0.0742,0.00551,0,2,0,0,0,0,0,1,15,req
31,0.00126,0.13887,0.15814,0.10183,0.02196,0.00116,0.32614,0.04215,0.06411,0.00411,0,1,0,0,0,0,0,1,21,req
32,0.0008,0.31642,0.09296,0.16603,0.04246,0.00083,0.46508,0.02731,0.07717,0.00595,0,0,0,0,1,0,0,1,10,req
33,0.01303,0.18005,0.0983,0.10184,0.02197,0.00944,0.35836,0.02852,0.06411,0.00411,0,1,0,0,0,0,1,1,23,nonreq
34,0.00681,0.1481,0.14852,0.11448,0.0257,0.00506,0.33337,0.03996,0.06668,0.00445,0,0,0,0,0,0,0,1,8,req
35,0.00045,0.38704,0.03788,0.12854,0.03003,0.00059,0.52034,0.01476,0.06954,0.00484,0,1,0,0,0,0,0,1,23,req
36,0.00037,0.36611,0.12281,0.19958,0.05467,0.00054,0.50396,0.03411,0.08399,0.00705,0,2,0,0,0,0,0,1,22,req
37,0.00044,0.36611,0.0901,0.21033,0.05881,0.00058,0.50396,0.02666,0.08618,0.00743,0,2,0,0,0,0,0,1,15,req
38,0.00042,0.08895,0.09332,0.07888,0.01556,0.00057,0.28708,0.02739,0.05944,0.00353,0,1,1,0,0,0,1,1,18,req
39,0.00146,0.16201,0.08313,0.0824,0.01651,0.0013,0.34425,0.02507,0.06016,0.00362,0,0,0,0,0,0,1,1,19,req
40,0.00255,0.31907,0.12558,0.12312,0.02834,0.00206,0.46715,0.03474,0.06844,0.00468,0,1,0,0,0,0,0,1,29,req
41,0.00082,0.2734,0.10017,0.11539,0.02597,0.00085,0.43142,0.02895,0.06686,0.00447,0,0,0,0,0,0,0,1,9,req
42,0.00872,0.09753,0.09586,0.10218,0.02206,0.0064,0.2938,0.02797,0.06418,0.00412,0,0,0,0,0,0,1,1,20,req
43,0.04353,0.24129,0.04528,0.07365,0.01416,0.03088,0.40629,0.01645,0.05837,0.00341,0,0,0,0,0,1,1,1,8,req
44,0.06127,0.27967,0.11392,0.16259,0.04126,0.04335,0.43632,0.03208,0.07647,0.00585,0,0,0,0,0,0,0,1,14,req
45,0.00076,0.18611,0.10244,0.12512,0.02896,0.00081,0.36311,0.02947,0.06884,0.00474,0,0,0,0,0,0,1,1,21,req
46,0.00065,0.25017,0.10233,0.15869,0.03992,0.00073,0.41324,0.02944,0.07567,0.00573,0,1,0,0,0,0,0,1,15,req
47,0.0004,0.3102,0.14548,0.20351,0.05617,0.00056,0.46021,0.03927,0.08479,0.00719,0,1,0,0,0,0,0,1,19,req
48,0.007,0.31907,0.22031,0.21901,0.06222,0.0052,0.46715,0.05631,0.08794,0.00773,0,1,0,0,0,0,0,1,44,req
49,0.00201,0.17787,0.1083,0.14289,0.03463,0.00169,0.35666,0.0308,0.07246,0.00525,0,0,0,0,0,0,0,1,12,req
50,0.02615,0.18611,0.10693,0.05982,0.0106,0.01866,0.36311,0.03049,0.05556,0.00309,0,1,0,0,0,0,0,1,19,req
51,0.0007,0.25017,0.043,0.08877,0.01826,0.00077,0.41324,0.01593,0.06145,0.00378,0,0,0,0,0,0,0,1,15,nonreq
52,0.00095,0.42436,0.10496,0.16322,0.04148,0.00094,0.54954,0.03004,0.0766,0.00587,0,0,0,0,0,0,0,1,16,req
53,0.0002,0.53516,0.09931,0.16674,0.04271,0.00041,0.63625,0.02875,0.07731,0.00598,0,2,0,0,0,0,0,1,21,req
54,0.0009,1,0.11992,0.3208,0.10744,0.00091,1,0.03345,0.10865,0.0118,0,1,0,0,0,0,0,1,29,req
55,0.00016,0.3145,0.02577,0.05296,0.0089,0.00039,0.46358,0.012,0.05417,0.00293,0,0,1,0,0,0,0,1,14,req
56,0.01079,0.42436,0.04037,0.11671,0.02638,0.00786,0.54954,0.01533,0.06714,0.00451,0,0,0,0,0,0,0,1,14,req
57,0.00003,0.37965,0.14631,0.2075,0.05771,0.0003,0.51456,0.03946,0.0856,0.00733,0,2,0,0,0,0,0,1,37,nonreq
58,0.00041,0.28334,0.11767,0.10302,0.02231,0.00056,0.43919,0.03293,0.06435,0.00414,0,2,2,0,0,0,0,1,25,nonreq
59,0.00581,0.37965,0.10292,0.15336,0.03811,0.00436,0.51456,0.02958,0.07459,0.00556,0,3,2,0,0,0,0,1,20,nonreq
60,0.0067,0.59753,0.11718,0.18279,0.04843,0.00499,0.68506,0.03282,0.08058,0.00649,0,1,2,0,0,0,1,1,26,nonreq
61,0.00963,0.32517,0.10044,0.1466,0.03586,0.00704,0.47193,0.02901,0.07322,0.00536,0,1,1,0,0,0,0,1,14,nonreq
62,0.01136,0.14051,0.13932,0.11811,0.0268,0.00826,0.32743,0.03787,0.06742,0.00455,0,1,2,0,0,0,0,1,13,nonreq
63,0.00874,0.59753,0.07686,0.16878,0.04342,0.00642,0.68506,0.02364,0.07773,0.00604,0,0,1,0,0,0,0,1,11,nonreq
64,0.00079,0.56533,0.16725,0.25367,0.07655,0.00083,0.65986,0.04423,0.09499,0.00902,0,2,0,0,0,0,0,1,16,req
65,0.00098,0.35138,0.17664,0.23459,0.06853,0.00096,0.49244,0.04637,0.09111,0.0083,0,2,0,0,0,0,0,1,13,req
66,0.0003,0.19623,0.07812,0.09992,0.02141,0.00048,0.37103,0.02393,0.06372,0.00406,0,3,0,0,0,0,1,1,32,nonreq
67,0.00057,0.56533,0.11006,0.22066,0.06288,0.00068,0.65986,0.0312,0.08828,0.00779,0,2,0,0,0,1,0,1,14,req
68,0.00045,0.29705,0.08552,0.15073,0.03723,0.00059,0.44993,0.02561,0.07405,0.00548,0,2,1,0,0,0,0,1,14,req
69,0.00159,0.23605,0.0584,0.07688,0.01502,0.0014,0.40219,0.01943,0.05903,0.00348,0,1,1,0,0,0,0,1,11,nonreq
70,0.01586,0.30662,0.13712,0.15449,0.03849,0.01143,0.45741,0.03737,0.07482,0.0056,0,1,0,0,0,0,0,1,16,nonreq
71,0.01221,0.68715,0.08315,0.21768,0.0617,0.00886,0.75519,0.02507,0.08767,0.00769,0,1,0,0,1,0,0,1,24,nonreq
72,0.04709,0.5163,0.07386,0.23443,0.06846,0.03338,0.6215,0.02296,0.09108,0.0083,0,1,0,0,0,0,0,1,14,nonreq
73,0.15792,0.45537,0.03682,0.12963,0.03037,0.1113,0.57381,0.01452,0.06976,0.00487,0,3,0,0,0,0,0,1,25,nonreq
74,0.01403,0.5163,0.06257,0.16296,0.04139,0.01014,0.6215,0.02038,0.07654,0.00586,0,0,1,0,0,0,0,1,17,nonreq
75,0.00065,0.32585,0.11431,0.15878,0.03995,0.00073,0.47246,0.03217,0.07569,0.00573,0,1,0,0,0,0,1,1,18,nonreq
76,0.02103,0.68715,0.11611,0.21578,0.06094,0.01506,0.75519,0.03258,0.08729,0.00762,0,0,0,0,0,0,0,1,12,nonreq
77,0.00047,0.28334,0.0965,0.12682,0.02949,0.00061,0.43919,0.02811,0.06919,0.00479,0,2,1,0,0,0,0,1,13,nonreq
78,0.02083,0.28725,0.07428,0.08755,0.01792,0.01492,0.44226,0.02305,0.0612,0.00375,0,0,0,0,0,0,0,1,12,nonreq
79,0.00024,0.12605,0.06204,0.07192,0.01371,0.00044,0.31611,0.02026,0.05802,0.00337,0,1,1,0,0,0,1,1,18,nonreq
80,0.00801,0.31642,0.10429,0.15206,0.03767,0.00591,0.46508,0.02989,0.07432,0.00552,0,1,1,0,0,0,0,1,16,req
81,0.00043,0.21713,0.11378,0.1402,0.03376,0.00057,0.38738,0.03205,0.07191,0.00517,0,1,0,0,0,0,0,1,15,req
82,0.01086,0.45837,0.14973,0.1998,0.05476,0.00791,0.57616,0.04024,0.08404,0.00706,0,0,0,0,0,0,0,1,25,req
83,0.00161,0.39498,0.18239,0.22955,0.06646,0.0014,0.52655,0.04768,0.09009,0.00812,0,1,0,0,0,0,0,1,16,nonreq
84,0.00093,0.21794,0.12108,0.12247,0.02814,0.00093,0.38802,0.03371,0.06831,0.00467,0,0,0,0,0,0,0,1,13,req
85,0.00038,0.3145,0.11342,0.13756,0.0329,0.00054,0.46358,0.03197,0.07138,0.00509,0,1,0,0,0,0,0,1,26,nonreq
86,0.00058,0.19806,0.07296,0.03503,0.00466,0.00068,0.37246,0.02275,0.05052,0.00255,0,0,0,0,0,0,0,1,18,nonreq
