@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.00122,0.11678,0.10825,0.04506,0.00555,0.00032,0.20799,0.03327,0.04918,0.00242,0,0,1,0,0,0,0,1,42,req
2,0.00055,0.18339,0.29965,0.10314,0.01893,0.00024,0.26773,0.06286,0.06731,0.00453,2,9,1,0,0,0,0,4,24.75,req
3,0.00318,0.31105,0.17533,0.12086,0.02384,0.00054,0.3822,0.04364,0.07284,0.00531,0,4,0,0,0,0,0,3,17,req
4,0.00122,0.28638,0.23477,0.11664,0.02263,0.00031,0.36008,0.05283,0.07152,0.00511,0,2,0,0,0,0,0,3,17,req
5,0.00519,0.54718,0.49306,0.21909,0.0581,0.00077,0.59395,0.09277,0.1035,0.01071,0,7,1,0,1,0,2,3,30.333333,req
6,0.08602,0.30147,0.14445,0.1346,0.02791,0.01004,0.37361,0.03886,0.07712,0.00595,0,0,1,0,0,0,0,1,22,req
7,0.01514,0.33051,0.31716,0.197,0.04935,0.00191,0.39965,0.06557,0.0966,0.00933,0,12,0,0,0,0,0,1,69,nonreq
8,0.00386,0.06648,0.02832,0.01474,0.00022,0.00062,0.16289,0.02091,0.03971,0.00158,0,0,0,0,0,0,0,1,10,req
9,0.08655,0.31105,0.1129,0.1287,0.02613,0.0101,0.3822,0.03399,0.07528,0.00567,0,2,0,0,0,0,0,1,16,req
10,0.00147,0.7788,0.10084,0.28713,0.08881,0.00034,0.80164,0.03212,0.12473,0.01556,0,0,1,0,0,0,0,1,15,req
11,0.00088,0.7788,0.17536,0.29133,0.09089,0.00028,0.80164,0.04365,0.12604,0.01589,0,2,1,0,0,0,0,1,16,req
12,0.00049,0.21142,0.12827,0.079,0.01286,0.00023,0.29286,0.03636,0.05977,0.00357,0,2,0,0,0,0,0,4,13.5,req
13,0.03234,0.37588,0.25266,0.19207,0.04748,0.00388,0.44034,0.0556,0.09506,0.00904,0,4,0,0,0,0,0,2,34,req
14,0.0021,0.21562,0.0547,0.05606,0.00776,0.00042,0.29663,0.02499,0.05261,0.00277,0,0,1,0,0,0,0,1,17,req
15,0.00104,0.37588,0.20641,0.17611,0.04164,0.00029,0.44034,0.04845,0.09008,0.00811,0,1,0,0,0,0,1,2,21.5,req
16,0.01514,0.21406,0.27823,0.14724,0.03187,0.00191,0.29523,0.05955,0.08107,0.00657,0,2,0,0,0,0,0,3,16,req
17,0.00088,0.19552,0.37039,0.14199,0.0302,0.00028,0.2786,0.0738,0.07943,0.00631,0,7,0,0,0,0,1,4,28.5,req
18,0.00245,0.33051,0.18367,0.1227,0.02437,0.00046,0.39965,0.04493,0.07341,0.00539,1,5,0,0,0,0,0,2,23.5,nonreq
19,0.00443,0.27581,0.18883,0.1113,0.02114,0.00068,0.3506,0.04573,0.06985,0.00488,1,9,1,1,0,0,0,4,28.5,req
20,0.00207,0.2145,0.25915,0.1708,0.03977,0.00041,0.29562,0.0566,0.08843,0.00782,0,1,0,0,0,0,0,2,11,req
21,0.0265,0.1376,0.15719,0.06398,0.00945,0.00321,0.22666,0.04084,0.05508,0.00303,0,3,0,0,0,0,0,1,35,req
22,0.00343,0.15884,0.12641,0.06795,0.01032,0.00057,0.24571,0.03607,0.05632,0.00317,0,2,0,0,0,0,1,2,18.5,req
23,0.1689,0.28059,0.04815,0.09468,0.01672,0.01954,0.35489,0.02397,0.06466,0.00418,0,1,0,0,0,0,0,1,21,req
24,0.00055,0.15194,0.23511,0.10437,0.01926,0.00024,0.23952,0.05288,0.06769,0.00458,0,1,0,0,0,0,0,2,20.5,req
25,0.00106,0.29346,0.14472,0.10469,0.01934,0.0003,0.36643,0.03891,0.06779,0.0046,0,0,0,0,0,0,0,1,21,req
26,0.00013,0.29346,0.05368,0.08707,0.01481,0.00019,0.36643,0.02483,0.06229,0.00388,0,0,0,0,0,0,0,1,30,req
27,0.00231,0.34054,0.16297,0.11991,0.02357,0.00044,0.40865,0.04173,0.07254,0.00526,0,0,0,0,0,0,0,1,30,req
28,0.00343,0.54718,0.361,0.26587,0.0786,0.00057,0.59395,0.07235,0.1181,0.01395,0,1,0,0,0,0,0,4,16.25,req
29,0.00003,0.28638,0.11415,0.09183,0.016,0.00018,0.36008,0.03418,0.06378,0.00407,0,8,0,0,0,0,0,2,28.5,req
30,0.02055,0.30147,0.11539,0.12036,0.0237,0.00253,0.37361,0.03437,0.07268,0.00528,0,3,0,0,0,0,0,1,21,req
31,0.00085,0.40338,0.28663,0.17375,0.0408,0.00027,0.465,0.06085,0.08935,0.00798,0,3,1,0,0,0,0,4,13.25,req
32,0.00389,0.40338,0.32594,0.1929,0.0478,0.00062,0.465,0.06693,0.09532,0.00909,0,8,1,0,0,0,1,4,21.5,req
33,0.0015,0.28059,0.08001,0.13824,0.02903,0.00035,0.35489,0.0289,0.07826,0.00612,0,2,0,0,0,0,0,1,21,req
