@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.0015,0.70333,0.16173,0.28349,0.08599,0.00138,0.7567,0.05348,0.13869,0.01923,0,0,0,0,0,0,0,1,8,req
2,0.01311,0.73132,0.13361,0.28521,0.08685,0.00866,0.77966,0.04533,0.13933,0.01941,0,0,0,0,0,0,0,1,16,req
3,0.00379,0.35693,0.17831,0.15305,0.03214,0.00282,0.47262,0.05829,0.0898,0.00806,0,0,0,0,0,0,0,1,7,req
4,0.0007,0.25974,0.11306,0.13674,0.02703,0.00089,0.39292,0.03937,0.08369,0.007,0,1,1,0,0,0,0,1,18,req
5,0.00159,0.42687,0.17475,0.17947,0.04119,0.00144,0.52998,0.05726,0.0997,0.00994,0,0,0,0,0,0,0,1,15,req
6,0.00102,0.07034,0.04204,0.01474,0.00022,0.00108,0.23759,0.01876,0.03797,0.00144,0,0,0,0,0,0,0,1,7,req
7,0.00041,0.54222,0.12585,0.14455,0.02943,0.0007,0.62457,0.04307,0.08662,0.0075,0,1,0,0,0,0,0,1,19,req
8,0.00034,0.54222,0.06815,0.13569,0.02671,0.00066,0.62457,0.02634,0.0833,0.00694,0,0,0,0,0,0,0,1,12,req
9,0.00044,0.78008,0.08169,0.20048,0.04906,0.00072,0.81964,0.03027,0.10758,0.01157,0,0,0,0,0,0,0,1,10,req
10,0.00028,0.78008,0.05043,0.18199,0.0421,0.00062,0.81964,0.0212,0.10065,0.01013,0,0,0,0,0,0,0,1,10,req
11,0.00053,0.85231,0.12337,0.18273,0.04237,0.00078,0.87888,0.04235,0.10093,0.01019,0,0,0,0,0,0,0,1,13,req
12,0.0005,0.85884,0.20986,0.33824,0.11545,0.00076,0.88423,0.06744,0.1592,0.02534,0,0,0,0,0,0,0,1,14,req
13,0.0005,0.85884,0.20755,0.34218,0.11772,0.00076,0.88423,0.06677,0.16068,0.02582,0,0,0,0,0,0,0,1,14,req
14,0.00053,0.85231,0.12337,0.18273,0.04237,0.00078,0.87888,0.04235,0.10093,0.01019,0,0,0,0,0,0,0,1,13,req
15,0.00052,0.85231,0.11995,0.1825,0.04228,0.00077,0.87888,0.04136,0.10084,0.01017,0,0,0,0,0,0,0,1,13,req
16,0.00018,0.58245,0.14089,0.17912,0.04106,0.00056,0.65757,0.04744,0.09957,0.00991,0,0,0,0,0,0,0,1,19,req
17,0.00049,0.85884,0.20583,0.34141,0.11728,0.00075,0.88423,0.06628,0.16039,0.02572,0,0,0,0,0,0,0,1,14,req
18,0.00049,0.85884,0.20355,0.34819,0.12124,0.00075,0.88423,0.06561,0.16293,0.02655,0,0,0,0,0,0,0,1,14,req
19,0.01417,0.64881,0.15263,0.22889,0.06064,0.00933,0.71199,0.05084,0.11822,0.01398,0,0,0,0,0,0,0,1,19,req
20,0.00052,0.85231,0.11995,0.1825,0.04228,0.00077,0.87888,0.04136,0.10084,0.01017,0,0,0,0,0,0,0,1,13,req
21,0.00055,0.41913,0.18356,0.22883,0.06062,0.00079,0.52363,0.05981,0.1182,0.01397,0,0,0,0,0,0,0,1,15,req
22,0.00084,0.43729,0.11197,0.16484,0.03606,0.00097,0.53852,0.03905,0.09422,0.00888,0,0,0,0,0,0,0,1,10,req
23,0.00104,0.54102,0.22031,0.32073,0.10558,0.0011,0.62359,0.07048,0.15264,0.0233,0,0,0,0,0,0,0,1,10,req
24,0.00068,0.27844,0.16426,0.1664,0.03659,0.00087,0.40826,0.05422,0.0948,0.00899,0,0,0,0,0,0,0,1,13,req
25,0.00104,0.54102,0.21776,0.32366,0.1072,0.0011,0.62359,0.06974,0.15374,0.02363,0,0,0,0,0,0,0,1,10,req
26,0.00216,0.73132,0.1918,0.30644,0.09784,0.0018,0.77966,0.0622,0.14728,0.02169,0,0,0,0,0,0,0,1,10,req
27,0.00038,0.58245,0.13278,0.15495,0.03276,0.00068,0.65757,0.04508,0.09052,0.00819,0,0,0,0,0,0,0,1,16,req
28,0.00026,0.66525,0.09796,0.16298,0.03543,0.00061,0.72547,0.03498,0.09352,0.00875,0,0,0,0,0,0,0,1,18,req
29,0.00044,0.66525,0.11946,0.15525,0.03286,0.00072,0.72547,0.04122,0.09063,0.00821,0,0,0,0,0,0,0,1,15,req
30,0.00069,0.50314,0.14228,0.17522,0.03967,0.00088,0.59253,0.04784,0.09811,0.00963,0,0,0,0,0,0,0,1,9,req
31,0.00039,0.34632,0.11565,0.15397,0.03244,0.00069,0.46392,0.04012,0.09015,0.00813,0,0,0,0,0,0,0,1,13,req
32,0.00053,0.31467,0.10401,0.141,0.02833,0.00078,0.43796,0.03674,0.08529,0.00727,0,0,0,0,0,0,0,1,15,req
33,0.00081,0.15869,0.08832,0.07193,0.01028,0.00095,0.31005,0.03219,0.0594,0.00353,0,0,0,0,0,0,0,1,11,req
34,0.00044,0.50046,0.12789,0.17668,0.04019,0.00072,0.59033,0.04367,0.09866,0.00973,0,0,0,0,0,0,0,1,19,req
35,0.00057,0.79781,0.1572,0.26474,0.07683,0.0008,0.83419,0.05217,0.13166,0.01733,0,0,0,0,0,0,0,1,21,req
36,0.00036,0.79781,0.17364,0.27266,0.08064,0.00067,0.83419,0.05694,0.13462,0.01812,0,0,0,0,0,0,0,1,18,req
37,0.00073,0.55197,0.17624,0.21373,0.05432,0.0009,0.63257,0.05769,0.11254,0.01267,0,0,0,0,0,0,0,1,14,req
38,0.01996,0.64881,0.12245,0.17929,0.04112,0.01296,0.71199,0.04209,0.09964,0.00993,0,0,0,0,0,0,0,1,18,req
39,0.00015,0.4854,0.08634,0.09881,0.01654,0.00054,0.57797,0.03161,0.06948,0.00483,0,0,0,0,0,0,0,1,21,req
40,0.0001,0.46659,0.07889,0.1241,0.02332,0.00051,0.56255,0.02945,0.07895,0.00623,0,0,0,0,1,0,1,1,19,req
41,0.03235,0.36862,0.16985,0.19006,0.04508,0.02072,0.48221,0.05584,0.10367,0.01075,0,0,0,0,0,0,0,1,9,req
42,0.0499,0.4854,0.11911,0.16464,0.03599,0.03172,0.57797,0.04112,0.09414,0.00886,0,0,0,0,0,0,0,1,20,req
