@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.01199,0.49817,0.0508,0.09289,0.01601,0.00294,0.55555,0.0067,0.06054,0.00367,0,0,0,0,1,0,0,1,13,nonreq
2,0.00308,0.50912,0.11988,0.1079,0.01993,0.00105,0.56463,0.01501,0.0651,0.00424,0,7,0,0,1,0,1,3,14.666667,req
3,0.00847,0.3217,0.17704,0.14291,0.03016,0.00219,0.40921,0.02188,0.07572,0.00573,0,7,0,0,0,0,0,3,18.333333,req
4,0.01505,0.3217,0.14779,0.13962,0.02914,0.00359,0.40921,0.01836,0.07472,0.00558,0,3,0,0,0,0,0,1,33,req
5,0.00677,0.27747,0.14028,0.15198,0.03307,0.00183,0.37254,0.01746,0.07847,0.00616,0,4,0,0,0,0,0,1,32,req
6,0.00396,0.16077,0.10885,0.05679,0.00776,0.00123,0.27576,0.01368,0.04959,0.00246,0,2,0,0,0,0,0,1,17,req
7,0.01912,0.86887,0.21321,0.2246,0.06005,0.00446,0.86296,0.02623,0.10051,0.0101,0,7,0,0,0,0,0,6,14.5,req
8,0.00517,0.39296,0.16395,0.12785,0.02557,0.00149,0.46831,0.02031,0.07115,0.00506,0,3,0,0,0,0,0,1,17,req
9,0.01378,0.24823,0.07821,0.11168,0.02096,0.00332,0.34829,0.01,0.06625,0.00439,0,2,0,0,0,0,0,2,10,req
10,0.00435,0.25614,0.14238,0.12636,0.02513,0.00132,0.35485,0.01771,0.0707,0.005,0,2,0,0,0,0,0,1,28,req
11,0.00479,0.51444,0.13604,0.11996,0.02328,0.00141,0.56904,0.01695,0.06876,0.00473,0,3,0,0,0,0,0,2,22.5,req
12,0.00271,0.41026,0.16463,0.17127,0.03958,0.00097,0.48266,0.02039,0.08433,0.00711,0,8,0,0,0,0,0,3,13,nonreq
13,0.00003,0.19708,0.13551,0.11241,0.02116,0.0004,0.30587,0.01689,0.06647,0.00442,1,12,3,0,0,1,1,8,16.75,nonreq
14,0.00246,0.28993,0.09828,0.16905,0.03881,0.00091,0.38287,0.01241,0.08365,0.007,0,6,0,0,0,0,1,3,19,nonreq
15,0.00352,0.41026,0.11611,0.13802,0.02864,0.00114,0.48266,0.01455,0.07424,0.00551,0,2,1,0,0,0,1,2,27,nonreq
16,0.00981,0.86887,0.15876,0.21902,0.05774,0.00248,0.86296,0.01968,0.09881,0.00976,0,3,0,0,0,0,0,3,13.666667,req
17,0.00653,0.5168,0.14083,0.15545,0.03421,0.00178,0.571,0.01753,0.07953,0.00632,0,0,0,0,0,0,0,1,15,req
18,0.01881,0.14446,0.06266,0.05096,0.00658,0.00439,0.26224,0.00813,0.04782,0.00229,0,1,0,0,0,0,0,4,18.25,req
19,0.00135,0.51444,0.12452,0.12337,0.02426,0.00068,0.56904,0.01556,0.06979,0.00487,0,1,0,0,0,0,0,2,24.5,req
20,0.02174,0.13339,0.13372,0.05886,0.00819,0.00501,0.25306,0.01667,0.05022,0.00252,0,2,0,0,0,0,0,6,7.166667,req
21,0.00196,0.50912,0.11583,0.16474,0.03733,0.00081,0.56463,0.01452,0.08235,0.00678,0,0,0,0,0,0,0,1,14,nonreq
22,0.03857,0.11729,0.15152,0.06197,0.00884,0.00859,0.2397,0.01881,0.05116,0.00262,0,0,0,0,0,0,0,1,9,req
23,0.00462,0.31838,0.07499,0.06055,0.00854,0.00137,0.40646,0.00961,0.05073,0.00257,0,1,0,0,0,0,0,1,16,nonreq
24,0.01503,0.06648,0.07844,0.01474,0.00022,0.00359,0.19757,0.01002,0.03683,0.00136,0,0,0,0,0,0,1,1,8,nonreq
25,0.02215,0.34101,0.15681,0.13641,0.02815,0.0051,0.42523,0.01945,0.07375,0.00544,0,2,0,0,0,0,0,1,13,nonreq
26,0.00821,0.08295,0.11181,0.07897,0.01264,0.00214,0.21123,0.01404,0.05632,0.00317,0,1,1,0,0,0,0,2,19.5,req
27,0.00003,0.56455,0.09075,0.15894,0.03536,0.0004,0.6106,0.0115,0.08058,0.00649,0,1,0,0,0,0,0,2,13,req
28,0.02557,1,0.21496,0.262,0.07653,0.00583,0.9717,0.02644,0.11186,0.01251,0,1,0,0,0,0,0,1,17,req
29,0.02614,0.21688,0.06882,0.06317,0.0091,0.00595,0.32229,0.00887,0.05153,0.00266,0,0,0,0,0,0,0,1,16,req
30,0.0025,0.16077,0.0708,0.03864,0.00423,0.00092,0.27576,0.0091,0.04409,0.00194,0,2,0,0,0,0,0,1,12,req
31,0.02637,1,0.19953,0.26482,0.07785,0.006,0.9717,0.02459,0.11271,0.0127,0,2,0,0,0,0,0,1,16,req
32,0.04881,0.13073,0.06125,0.02579,0.00198,0.01077,0.25085,0.00796,0.04018,0.00161,0,1,0,0,0,0,0,1,17,req
33,0.04303,0.21688,0.0637,0.10537,0.01925,0.00954,0.32229,0.00825,0.06433,0.00414,0,0,0,0,0,0,0,1,18,req
34,0.25708,0.17948,0.05362,0.10668,0.0196,0.05503,0.29128,0.00704,0.06473,0.00419,0,0,0,0,0,0,0,1,8,req
35,0.0031,0.24155,0.22031,0.171,0.03949,0.00105,0.34275,0.02709,0.08424,0.0071,0,1,0,0,0,0,0,1,19,req
36,0.00278,0.24096,0.08892,0.12213,0.0239,0.00098,0.34226,0.01128,0.06942,0.00482,0,5,1,0,0,0,0,3,17,req
37,0.73569,0.24034,0.02978,0.10537,0.01925,0.15676,0.34175,0.00417,0.06433,0.00414,0,1,0,0,0,0,0,1,16,nonreq
38,0.00529,0.26413,0.12269,0.10112,0.01813,0.00152,0.36147,0.01535,0.06304,0.00397,0,4,0,0,0,0,0,2,17.5,req
39,0.00209,0.12853,0.12902,0.0871,0.01458,0.00084,0.24903,0.01611,0.05879,0.00346,0,2,0,0,0,0,0,3,17.666667,req
40,0.00541,0.26669,0.09855,0.04386,0.0052,0.00154,0.3636,0.01244,0.04567,0.00209,0,0,0,0,0,0,0,1,11,req
41,0.00637,0.3122,0.0983,0.15235,0.03319,0.00175,0.40134,0.01241,0.07859,0.00618,0,2,0,0,0,0,0,4,17.5,req
42,0.00512,0.22602,0.10422,0.10701,0.01969,0.00148,0.32987,0.01312,0.06483,0.0042,0,0,0,0,0,0,0,1,11,req
43,0.00367,0.22117,0.10305,0.09991,0.01781,0.00117,0.32585,0.01298,0.06267,0.00393,0,1,0,0,0,0,0,1,20,req
44,0.00308,0.36503,0.06132,0.12092,0.02355,0.00105,0.44515,0.00796,0.06905,0.00477,0,1,0,0,0,0,0,2,16,req
45,0.01859,0.3122,0.05345,0.09438,0.01639,0.00434,0.40134,0.00702,0.061,0.00372,0,1,1,0,0,0,1,2,22.5,req
46,0.00911,0.27963,0.08051,0.12453,0.0246,0.00233,0.37433,0.01027,0.07014,0.00492,0,1,0,0,0,0,0,2,10.5,req
47,0.02681,0.23661,0.14159,0.13182,0.02675,0.00609,0.33865,0.01762,0.07236,0.00524,0,2,0,0,0,0,1,1,17,req
48,0.01431,0.28993,0.11487,0.15061,0.03262,0.00343,0.38287,0.0144,0.07806,0.00609,0,4,0,0,0,0,0,4,16.25,req
49,0.00516,0.07256,0.02813,0.01658,0.0005,0.00149,0.20261,0.00397,0.03739,0.0014,0,2,0,0,0,0,0,1,12,req
50,0.00515,0.17521,0.12702,0.09452,0.01643,0.00149,0.28774,0.01587,0.06104,0.00373,0,2,2,0,0,0,0,1,17,req
51,0.00462,0.30567,0.0931,0.12134,0.02368,0.00137,0.39592,0.01179,0.06918,0.00479,0,3,0,0,2,0,0,1,29,nonreq
52,0.00543,0.66707,0.15321,0.17774,0.04188,0.00155,0.69562,0.01901,0.08629,0.00745,0,7,0,0,0,0,0,6,12.333333,req
53,0.00438,0.66707,0.07427,0.17746,0.04178,0.00132,0.69562,0.00952,0.08621,0.00743,0,3,0,0,0,0,0,1,27,req
54,0.01484,0.22076,0.17445,0.13437,0.02752,0.00355,0.32551,0.02157,0.07313,0.00535,0,1,0,0,0,0,0,1,23,req
55,0.04283,0.56455,0.14905,0.15843,0.03519,0.0095,0.6106,0.01851,0.08043,0.00647,0,0,0,0,0,0,0,1,22,req
56,0.02055,0.09363,0.13983,0.09032,0.01537,0.00476,0.22009,0.01741,0.05976,0.00357,0,3,0,0,0,0,1,1,65,req
57,0.02079,0.26951,0.08967,0.08092,0.0131,0.00481,0.36594,0.01137,0.05691,0.00324,0,3,0,1,0,0,0,1,19,req
58,0.00209,0.32282,0.094,0.14113,0.02961,0.00084,0.41014,0.01189,0.07518,0.00565,0,7,0,0,1,0,0,1,59,nonreq
59,0.00066,0.36503,0.01815,0.12204,0.02388,0.00053,0.44515,0.00277,0.06939,0.00481,0,1,0,1,0,0,0,2,12,req
60,0.02129,0.37556,0.09405,0.16251,0.03656,0.00492,0.45388,0.0119,0.08167,0.00667,0,2,0,0,0,0,0,2,15.5,nonreq
61,0.01265,0.56871,0.11993,0.16902,0.0388,0.00308,0.61405,0.01501,0.08364,0.007,0,1,0,0,0,0,0,1,17,req
62,0.00568,0.56871,0.11952,0.14743,0.0316,0.0016,0.61405,0.01496,0.07709,0.00594,0,0,0,0,0,0,0,1,17,req
63,0.00602,0.25614,0.10158,0.06212,0.00888,0.00167,0.35485,0.01281,0.05121,0.00262,0,0,0,0,0,0,0,1,11,req
64,0.00162,0.24155,0.15132,0.12712,0.02536,0.00074,0.34275,0.01879,0.07093,0.00503,0,1,1,0,0,0,0,3,19.333333,req
65,0.01328,0.28515,0.19401,0.14638,0.03126,0.00321,0.3789,0.02392,0.07678,0.00589,0,1,1,0,0,0,0,1,32,req
66,0.00257,0.47028,0.06647,0.15443,0.03387,0.00094,0.53242,0.00858,0.07922,0.00628,0,1,0,0,0,0,0,1,15,req
67,0.09244,0.32282,0.04132,0.07785,0.01238,0.02004,0.41014,0.00556,0.05598,0.00313,0,2,0,0,0,0,0,1,13,req
68,0.00748,0.06906,0.06157,0.04477,0.00538,0.00198,0.19971,0.00799,0.04594,0.00211,0,0,0,0,0,0,0,1,9,req
69,0.00837,0.47028,0.10524,0.11179,0.02099,0.00217,0.53242,0.01325,0.06628,0.00439,0,2,1,0,2,0,0,3,18.666667,nonreq
70,0.00459,0.09087,0.0722,0.0371,0.00395,0.00137,0.2178,0.00927,0.04362,0.0019,0,0,0,0,0,0,0,1,26,req
71,0.02125,0.1395,0.0272,0.05524,0.00744,0.00491,0.25812,0.00386,0.04912,0.00241,0,1,1,0,0,0,0,1,17,req
72,0.00522,0.27963,0.11366,0.17999,0.04269,0.0015,0.37433,0.01426,0.08697,0.00756,0,3,1,0,0,0,0,1,44,req
73,0.00462,0.38161,0.13852,0.11388,0.02157,0.00137,0.45889,0.01725,0.06691,0.00448,0,0,0,0,1,0,1,6,13.833333,req
74,0.01785,0.38161,0.06132,0.10246,0.01848,0.00419,0.45889,0.00796,0.06345,0.00403,0,1,1,0,0,0,0,3,11.333333,req
75,0.0025,0.09363,0.05,0.03195,0.00304,0.00092,0.22009,0.0066,0.04206,0.00177,0,4,1,0,0,0,0,3,13.333333,nonreq
