@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.02346,0.71487,0.19071,0.2246,0.06133,0.00535,0.67125,0.10982,0.15557,0.0242,0,0,0,0,0,0,0,2,12.5,req
2,0.01026,0.88765,0.22031,0.30782,0.09972,0.00347,0.77073,0.12406,0.19196,0.03685,0,0,0,0,0,0,0,3,16,req
3,0.01607,0.90396,0.20226,0.30082,0.09618,0.0043,0.78012,0.11538,0.1889,0.03568,0,0,0,0,0,0,0,3,11,req
4,0.01549,0.53076,0.11672,0.16587,0.03907,0.00422,0.56523,0.07423,0.12988,0.01687,0,0,0,0,0,0,1,1,29,req
5,0.00443,1,0.13505,0.34819,0.12124,0.00264,0.83542,0.08305,0.20962,0.04394,0,0,0,0,0,0,0,1,29,req
6,0.02517,0.74428,0.13436,0.19618,0.05006,0.00559,0.68818,0.08272,0.14314,0.02049,0,0,0,0,0,0,0,1,15,req
7,0.00691,0.74428,0.1605,0.2432,0.06921,0.00299,0.68818,0.09529,0.1637,0.0268,0,0,0,0,0,0,0,2,12.5,req
8,0.00003,0.77448,0.15628,0.21631,0.05794,0.00201,0.70557,0.09326,0.15194,0.02309,0,0,0,0,0,0,0,2,16.5,req
9,0.01477,0.43796,0.18606,0.16189,0.03771,0.00411,0.5118,0.10758,0.12814,0.01642,0,0,0,0,0,0,0,1,34,req
10,0.01697,0.23937,0.10003,0.15068,0.03397,0.00443,0.39745,0.0662,0.12324,0.01519,0,0,0,0,0,0,0,1,19,req
11,0.02566,0.34588,0.0801,0.10153,0.01929,0.00566,0.45878,0.05662,0.10175,0.01035,0,0,0,0,0,0,0,1,19,req
12,0.01551,0.53182,0.13356,0.18622,0.04633,0.00422,0.56585,0.08233,0.13878,0.01926,0,1,0,0,0,0,0,1,18,req
13,0.00003,0.34588,0.1177,0.18332,0.04526,0.00201,0.45878,0.07471,0.13751,0.01891,0,0,0,0,0,0,0,1,25,req
14,0.02841,0.77448,0.12806,0.15874,0.03664,0.00606,0.70557,0.07969,0.12676,0.01607,0,0,1,0,0,0,0,1,29,req
15,0.05883,0.15765,0.09508,0.08195,0.01422,0.01039,0.3504,0.06382,0.09318,0.00868,0,0,0,0,0,0,0,1,10,req
16,0.02445,0.29357,0.0816,0.11689,0.02357,0.00549,0.42866,0.05734,0.10846,0.01176,0,0,0,0,0,0,0,1,11,req
17,0.00671,0.52813,0.0735,0.15613,0.03577,0.00296,0.56372,0.05344,0.12562,0.01578,0,1,0,0,0,0,1,2,20,nonreq
18,0.02704,0.09527,0.0723,0.05633,0.00826,0.00586,0.31448,0.05287,0.08198,0.00672,0,4,0,0,0,0,1,2,14.5,nonreq
19,0.77326,0.43226,0.03661,0.12094,0.02475,0.11217,0.50852,0.0357,0.11023,0.01215,0,0,0,0,0,0,0,1,9,req
20,0.03889,0.53182,0.13133,0.20934,0.05516,0.00755,0.56585,0.08126,0.14889,0.02217,0,1,0,0,0,0,0,1,29,nonreq
21,0.05267,0.29357,0.10474,0.13799,0.02991,0.00951,0.42866,0.06847,0.11769,0.01385,0,0,0,0,0,0,0,1,12,req
22,0.02599,0.15298,0.09031,0.11642,0.02344,0.00571,0.34771,0.06153,0.10826,0.01172,0,1,0,0,0,0,1,1,30,req
23,0.02428,1,0.15087,0.31801,0.10497,0.00547,0.83542,0.09066,0.19642,0.03858,0,0,0,0,0,0,1,1,21,req
24,0.23332,0.88765,0.12592,0.25975,0.07656,0.03525,0.77073,0.07866,0.17094,0.02922,0,0,0,0,0,0,0,1,19,req
